rc_number,company_name,registration_date,first_invoice_date,days_to_first_invoice,bank_account,address,invoice_amount,director_bvn,is_fraud
RC911215,Eze Ltd,2022-02-07,2022-12-29,325,KQFA72327967852498,"53013 Balogun Haven
Balogunshire, GU 33132",4455113.45,85232109861,0
RC413671,Balogun Inc,2023-07-07,2024-06-27,356,UKSZ68457804222407,"5739 Angela Path
Adetokunbomouth, VA 93448",804870.28,03377724651,0
RC816114,"Chukwu, Obi and Akinwale",2016-10-13,2022-09-27,2175,NETZ79076335044066,"09532 Ojo Ford
Abiolaton, WI 96473",2471956.0,04272658228,0
RC848145,"Chukwu, Oshodi and Olawale",2018-05-14,2023-02-10,1733,LDZZ63270247174980,"USS Adeyemi
FPO AP 20174",1960798.87,46090055375,0
RC155437,Ibrahim LLC,2017-03-02,2025-03-11,2931,GQHA31184613523542,"607 Mark Rapids Apt. 273
West Agnes, CT 22781",293395.2,54595344224,0
RC326432,Obasanjo-Obi,2022-04-25,2024-02-15,661,UVEP69992332711180,"8542 Faith Lock Apt. 853
South Benjamintown, NY 34558",4960552.19,87291604029,0
RC759692,Adetokunbo and Sons,2023-04-01,2025-04-15,745,ORHZ37632340580947,"908 Oshodi Locks
Nnamaniport, CA 54059",3574457.0,21420750032,0
RC301853,"Balogun, Eze and Oyekan",2025-02-22,2025-02-27,5,QMAC00390276614807,"PSC 5263, Box 8534
APO AE 01637",4768731.17,31939004491,0
RC902619,Ibrahim Inc,2026-04-06,2026-04-19,13,PLSY77384244276506,"9489 Chukwu Crescent
Joshuabury, DC 87063",575634.49,36863013692,0
RC613452,Ojo PLC,2023-11-25,2024-10-24,334,ZAYZ25215563113911,"USNV Abiola
FPO AP 49658",1592227.11,69717965442,0
RC726813,"Ogunleye, Okonkwo and Uche",2019-05-28,2022-08-19,1179,RPCM99066469549743,"6395 Comfort Oval Apt. 875
North Markbury, FM 54464",4000748.77,42317587988,0
RC911549,Oshodi Inc,2023-07-07,2023-09-12,67,HOAV75267375728935,"USNV Ogunleye
FPO AE 09960",856265.96,44062078400,0
RC155537,"Balogun, Abiola and Abiola",2024-01-03,2025-05-12,495,IIGB08595426944954,"858 Comfort Mall
Oyekanshire, WV 86822",4817017.69,83828826905,0
RC995463,Ekwueme-Uche,2024-01-17,2026-04-17,821,YVWM45538794877463,"50990 Okafor Street Apt. 602
Port Philipport, HI 96175",166764.62,27784638547,0
RC753160,Oshodi-Olawale,2020-09-01,2024-04-23,1330,XKSS78221393970849,"1468 Paul Gardens
Agnesville, AK 25234",1318049.62,16470167177,0
RC825114,"Chukwu, Eze and Chukwu",2022-03-16,2023-07-20,491,DEOE35014096697547,"5881 Nnamani Junction
North Simonmouth, UT 82498",2144425.59,11097646002,0
RC758323,"Ogunleye, Uche and Olawale",2016-11-20,2021-03-16,1577,QJYE13900060983040,"8959 Sarah Extensions Suite 068
Ucheland, KS 94160",3148611.39,35727137999,0
RC225048,"Okafor, Olawale and Uche",2023-06-19,2023-07-31,42,CXOL64897562600372,"04524 Balogun Overpass Suite 930
Charitychester, MD 95021",555981.96,90907221513,0
RC607543,Uche-Chukwu,2016-08-06,2018-02-16,559,TCQY50804463503962,"3962 Hope Wells
Joshuabury, NV 78235",3506547.51,40971607691,0
RC829527,"Ogunleye, Uche and Chukwu",2024-09-24,2025-10-07,378,VYBP84775883561887,"287 Obasanjo Creek
Davidburgh, AS 73536",2548261.96,10871541250,0
RC336283,Adetokunbo Group,2020-03-21,2024-04-30,1501,OKKY47693143942261,"8129 Peter Road
North Samuelborough, AZ 93687",1156797.15,81976869900,0
RC790835,Chukwu Inc,2021-08-22,2021-11-11,81,HTTL60889854701456,"Unit 6351 Box 2638
DPO AE 29047",702156.42,85523672858,0
RC216681,"Akinwale, Chukwu and Nnamani",2021-03-20,2023-09-02,896,TFFB23610165283097,"49334 Joy Gardens
North Danielburgh, MT 86837",1757102.81,34303978264,0
RC144563,"Chukwu, Ibrahim and Uche",2025-09-30,2026-03-10,161,KNJX88714925863124,"0030 Blessing Overpass Apt. 452
Oyekanport, OR 54740",2303961.53,20365216393,0
RC689451,Oyekan-Balogun,2018-12-11,2021-10-20,1044,TXNR70552853847069,"17618 Gloria Forge Suite 339
Deborahview, UT 50949",113096.51,29883794863,0
RC979570,Olawale-Ogunleye,2019-03-22,2022-05-15,1150,TBUY61741988141654,"3172 Joy Vista Suite 288
Port Deborahburgh, AL 64840",4968369.35,69555618538,0
RC673932,Adeyemi PLC,2020-06-18,2023-02-09,966,ZFNH27492012926312,"65078 Angela Union Suite 964
Obasanjoport, MH 96085",4436703.87,55418532888,0
RC355196,"Olawale, Ibrahim and Ibrahim",2023-03-20,2025-08-07,871,KYMY63169451003055,"9318 Daniel Ports Suite 492
North Nathanielside, SD 26369",1290848.18,30651973742,0
RC787251,"Ojo, Balogun and Balogun",2017-02-05,2026-04-12,3353,RKUH74225604652710,"9268 Ekwueme Lodge Apt. 826
Patiencemouth, VT 24598",1018851.13,41386776750,0
RC855371,Olawale-Uche,2020-01-22,2021-07-01,526,ZUNO82119175434055,"83793 David View
Johntown, AZ 80603",2783846.94,69836618001,0
RC244208,Ogunleye-Ojo,2019-08-11,2019-10-27,77,NAUO73968253133478,"53734 Gloria Inlet Suite 997
New Victoria, MA 62282",416359.57,50487838810,0
RC787824,Oyekan-Adeyemi,2024-01-03,2024-02-27,55,ANGI09446955081925,"20249 Okonkwo Stravenue Apt. 591
Agnesfort, PW 78238",187195.09,15932368004,0
RC861167,Eze Ltd,2025-09-28,2026-03-04,157,NAYO12379526085173,"289 Michael Flats Suite 901
Abiolamouth, MN 29690",1236879.09,21361947746,0
RC466835,Adetokunbo-Obasanjo,2022-06-29,2025-08-23,1151,LIQK63488032913235,"USNV Nnamani
FPO AE 72041",1907180.57,06005117368,0
RC233490,"Olawale, Ekwueme and Balogun",2020-10-26,2025-08-14,1753,GHUK63315845748035,"6310 Oyekan Valleys Suite 270
Gracestad, IN 97986",473146.53,94410802892,0
RC320523,"Ibrahim, Adetokunbo and Eze",2020-09-18,2026-03-30,2019,GDDT61004610876190,"295 Obasanjo Port
East Juliet, RI 04134",909759.97,05077847432,0
RC394190,Abiola Group,2025-02-18,2025-10-23,247,ZSZX87943771610674,"582 Andrew Unions
Maryburgh, RI 54278",4143905.09,69125650628,0
RC473812,"Oshodi, Ogunleye and Abiola",2022-10-25,2023-05-15,202,AZDA92127619069876,"5728 Adetokunbo Highway
Patienceland, PW 83709",1982996.47,62090891507,0
RC166721,Abiola-Obasanjo,2018-12-12,2019-10-08,300,IUTD47721538688832,"07071 Oshodi Alley Suite 659
Josephstad, NV 41149",4781121.96,33179541391,0
RC569901,Okafor-Uche,2025-03-07,2025-07-30,145,PCHU57836721734475,"716 Eze Meadow Apt. 838
South Benjamin, MP 48581",2194979.77,97292121704,0
RC903509,Uche LLC,2019-01-15,2022-11-16,1401,RZLM01598142644001,"442 Elizabeth Plaza Apt. 561
Joshuaville, NC 41259",238553.64,13771318147,0
RC665961,Abiola-Abiola,2018-10-05,2021-06-13,982,SANE68252362315225,"6048 Nnamani Islands
Deborahmouth, AL 91543",2401298.09,90282644325,0
RC470301,Ibrahim-Oyekan,2018-10-19,2023-01-25,1559,GQUE58259726392104,"327 Ojo Pike
North Gloria, IA 06646",3018993.43,12453010653,0
RC678462,"Oshodi, Okafor and Adetokunbo",2020-02-25,2025-02-19,1821,PRFH96125703611716,"8881 Ruth Burgs Suite 339
South Gloriamouth, NC 64636",4366256.63,51821359795,0
RC747482,"Ogunleye, Adetokunbo and Okonkwo",2023-08-16,2026-03-21,948,STPH28331652946949,"63742 Daniel Road Suite 297
North Deborah, NV 07700",575413.08,98364893074,0
RC571618,Obasanjo Ltd,2025-01-16,2026-02-15,395,AUSE31723538481485,"2438 Akinwale Forest Suite 331
West Corneliusborough, CA 65102",3842646.21,21688873835,0
RC889739,Uche-Oshodi,2021-05-22,2026-03-06,1749,GAEE79545553754704,"36515 Philip Overpass
Lake Benjaminland, DE 94652",2173212.44,71670461803,0
RC391737,"Olawale, Ekwueme and Okonkwo",2020-06-23,2021-01-02,193,MHFL05490015310216,"10798 Blessing Light
Charityview, PR 73633",3050008.07,36275974217,0
RC311064,Balogun-Ojo,2019-03-19,2025-07-29,2324,VKDK46220745853482,"151 Akinwale Freeway Apt. 320
West Emmanueltown, MP 54911",2515454.4,48584616136,0
RC425503,"Abiola, Ojo and Uche",2016-10-09,2020-12-02,1515,BOPA05038148166278,"4227 Victoria Manors Suite 221
North Joy, CT 67467",1714537.21,11428809844,0
RC282071,Okonkwo Inc,2026-01-10,2026-01-27,17,IYUT55728295425164,"76809 Charity Causeway
Ogunleyeborough, MH 52560",3717337.49,22727203692,0
RC196234,Akinwale-Chukwu,2020-12-11,2023-05-29,899,DFBM42464860324627,"271 Ekwueme Motorway
Lake Ruthside, ND 45703",2511673.33,00167481436,0
RC663451,Oshodi-Akinwale,2022-03-22,2025-08-06,1233,VOWZ81778481033154,"3834 Angela Squares
New Emmanuel, RI 01348",1153650.5,94467568876,0
RC410519,"Olawale, Balogun and Balogun",2016-06-13,2024-10-05,3036,RUMS89948127872037,"8762 Obasanjo Haven Apt. 707
West Sarah, ND 14299",1065477.0,20413697313,0
RC754136,"Adetokunbo, Eze and Adeyemi",2018-11-24,2020-02-26,459,EZHR95516654903485,"573 Juliet Summit
Julietton, GA 34955",512352.7,48253994301,0
RC517609,"Ekwueme, Okonkwo and Ibrahim",2021-07-11,2024-07-09,1094,RZIK52312193303380,"04621 Angela Pass
Corneliuston, VA 62537",3801388.1,98383693745,0
RC641564,"Okafor, Balogun and Ekwueme",2017-08-21,2019-04-25,612,ZHNN09627326069436,"8954 Eze Mission Apt. 257
Corneliusland, NV 98505",1070308.96,44042674096,0
RC407840,Olawale-Olawale,2023-02-15,2025-09-08,936,RPAL54279546422949,"645 Esther River
Peaceville, SD 44948",2377887.85,62969241694,0
RC713631,Ojo Group,2025-05-25,2025-12-06,195,BCDM57175804392860,"1041 Ruth Vista
East Michael, SC 28304",674970.14,48726291572,0
RC629734,"Balogun, Oyekan and Oyekan",2024-02-06,2025-11-06,639,OYXM25698163105085,"USS Okafor
FPO AA 39088",3325513.51,29453666540,0
RC576668,"Akinwale, Ibrahim and Adeyemi",2022-06-05,2022-09-18,105,YVXT46921958065963,"975 Olawale Trail Suite 596
Marymouth, MD 03170",3650834.07,17332155929,0
RC408683,Chukwu-Ekwueme,2017-06-06,2022-04-06,1765,JLVR58059369586352,"USNV Adeyemi
FPO AP 98258",2680232.28,35219965621,0
RC568784,Okafor Inc,2022-10-03,2024-01-28,482,VVOM54203171050481,"0835 Juliet Ferry Suite 314
Peacehaven, VI 71351",3785320.01,93046282338,0
RC659259,Chukwu-Oyekan,2023-08-31,2025-01-16,504,UOGP13104473785299,"171 Oyekan Rapid Suite 833
New Peterside, CO 59134",1700565.03,49667533548,0
RC951500,Oyekan Ltd,2018-10-10,2022-11-19,1501,HUSE24814210611680,"6480 Victoria Causeway
West Mark, KS 48013",2068160.52,76137378248,0
RC460074,Nnamani Inc,2022-08-16,2023-04-23,250,UNJW15403313569562,"0845 David Square
Agnesside, VA 76430",3534609.78,05761684617,0
RC628263,"Adeyemi, Ibrahim and Chukwu",2023-06-03,2025-11-02,883,KXTY58712628158602,"393 Deborah Run
Okonkwostad, MN 20045",1821096.64,66765436319,0
RC303512,Okonkwo-Akinwale,2019-02-17,2024-07-06,1966,KQNC71752647638531,"PSC 8260, Box 6667
APO AE 70919",4965404.02,39092008060,0
RC624960,Adeyemi Group,2024-03-18,2024-10-22,218,ZDZG05778336500454,"PSC 3229, Box 7701
APO AA 44001",3820743.55,85074791977,0
RC183565,Adeyemi-Adetokunbo,2025-05-16,2025-08-15,91,LPFY32868483354302,"87770 Ojo Meadow Suite 036
South Peace, DC 51088",2090473.44,83296591182,0
RC262321,Ibrahim-Uche,2016-12-22,2022-08-03,2050,GPFG67923815075732,"90492 Simon Gateway Suite 034
Lake Hope, LA 39649",3659911.6,75794542110,0
RC537993,Okonkwo-Eze,2018-06-19,2024-02-28,2080,VRKE84406278937609,"737 Uche Orchard Apt. 008
East Sarahland, WV 63768",1569817.0,67468268380,0
RC414827,Okonkwo-Okafor,2016-05-21,2016-12-09,202,GPDL57399827704829,"017 Adeyemi Mountain Apt. 438
South Agnes, WI 82844",1952975.63,91461017795,0
RC302814,"Obasanjo, Oyekan and Ibrahim",2022-04-15,2024-01-13,638,IDJQ96574297551240,"2020 Okafor Path
South Peter, GU 16290",2828498.05,88165684899,0
RC307212,Nnamani-Uche,2019-03-03,2021-10-16,958,AMKA48313390967463,"090 Olawale Junctions Apt. 850
West Johnmouth, SC 90476",207665.89,93035503797,0
RC535039,"Obi, Okonkwo and Okonkwo",2020-05-01,2025-08-26,1943,XUIW79827373506457,"970 Okafor Lodge
Adeyemiville, DE 21557",3920299.6,85827914300,0
RC810218,"Akinwale, Adetokunbo and Adetokunbo",2019-11-23,2024-02-21,1551,OOIC42080622028465,"1705 Ibrahim Stravenue
Ezeshire, CO 90587",2723730.36,06529228242,0
RC247660,"Ekwueme, Abiola and Abiola",2025-04-29,2026-03-14,319,RUOV63651840846805,"Unit 9477 Box 4598
DPO AA 66930",4289535.91,53665684317,0
RC271258,"Okonkwo, Nnamani and Obasanjo",2017-01-20,2017-03-13,52,FMLJ33499055378675,"076 Abiola Spur Apt. 709
Ekwuemestad, ID 66883",4272548.42,60352940260,0
RC769001,Ibrahim-Okonkwo,2018-06-18,2025-01-05,2393,HCYC83666196440773,"Unit 2617 Box 8746
DPO AE 32124",3837544.37,99758609461,0
RC247402,Ojo-Obasanjo,2023-10-10,2025-09-15,706,KQLY38346036171926,"83521 Okonkwo Plain Suite 114
Olawaleborough, TN 55908",3354683.38,30260958832,0
RC715205,"Eze, Ogunleye and Abiola",2019-04-16,2025-11-11,2401,VYVY27558716528036,"5908 Angela Courts
Obitown, PA 65826",3093698.61,47099643786,0
RC827550,Obasanjo LLC,2020-03-09,2022-05-29,811,BTAZ90744816269429,"13901 Daniel Avenue Apt. 438
Andrewfort, TN 41094",4281551.71,71705774803,0
RC619713,Balogun Inc,2025-04-29,2025-10-28,182,NCZK72389359984888,"093 Joy Hills Suite 087
Agnesfort, WI 27280",2163245.65,82067158304,0
RC827710,Okafor Group,2018-03-31,2019-02-09,315,PVNY53001238862879,"00346 Blessing Falls Suite 213
East Joymouth, WI 40859",205627.45,61653969033,0
RC532032,"Ekwueme, Eze and Obasanjo",2019-01-12,2019-06-13,152,JZYX73418751481935,"0247 Peace Turnpike Apt. 904
Deborahton, ME 39440",3721515.3,59603334577,0
RC955047,"Okafor, Uche and Obi",2022-07-26,2025-11-05,1198,JBQW82978564308371,"109 Obi Stravenue
Nnamanishire, KS 29135",1922652.48,16531910496,0
RC565778,Ojo and Sons,2022-07-01,2024-05-08,677,XOYB73738562202804,"PSC 2366, Box 9341
APO AE 57707",4111487.24,27995825764,0
RC401570,Eze-Akinwale,2022-04-01,2025-11-01,1310,TUHR52890036947193,"04024 Philip Terrace Apt. 865
South Emmanuelbury, KS 74580",4466584.52,14851645896,0
RC147584,Uche-Ibrahim,2025-11-24,2025-12-27,33,MTSP59125803768035,"9741 Esther Lock
Akinwaleview, VT 08914",4971251.03,20691455652,0
RC267846,"Adetokunbo, Uche and Eze",2023-07-12,2025-07-03,722,CGRB53618798953850,"281 Olawale Curve
Port Ruth, MP 81925",1241516.63,82852118309,0
RC134263,"Chukwu, Ogunleye and Obasanjo",2018-12-24,2025-07-28,2408,KEHG15109525308839,"0598 Ekwueme Locks Suite 856
South Sarahberg, MT 29425",4740729.03,96848788374,0
RC309026,Oyekan-Nnamani,2020-01-28,2022-04-02,795,QMPE63693480720063,"USS Balogun
FPO AA 97016",1207753.62,43748371892,0
RC464259,"Adetokunbo, Oyekan and Ekwueme",2024-01-16,2024-09-01,229,UEBF50881115944383,"69633 Paul Spring
East Charityshire, WI 49082",4560185.24,55864876492,0
RC185791,"Obi, Uche and Eze",2022-08-11,2025-10-01,1147,WKUV65993368876234,"9257 Ekwueme Inlet
South Elizabeth, PW 98998",1230877.38,04247230507,0
RC132562,Obasanjo and Sons,2017-02-21,2017-09-18,209,YEAT85451020735609,"983 Oshodi Rapid
Samuelfurt, FM 04122",512263.72,87289485838,0
RC857504,Oyekan-Ojo,2023-12-22,2024-03-05,74,UIPG84240970776407,"482 Eze Viaduct
Lake Charity, MD 34473",2409110.43,87153837966,0
RC259284,Ojo Inc,2024-08-21,2026-03-13,569,KNUH02523159645662,"82095 Oshodi Keys
Ogunleyeville, MS 97177",4894594.82,58363444480,0
RC910396,Ibrahim PLC,2021-08-09,2026-03-09,1673,TYEP01064854848190,"9188 Balogun Village Suite 122
West Agnesfurt, DE 08683",4546489.77,59354151400,0
RC674507,Ojo-Akinwale,2021-10-20,2023-02-14,482,EOOI28289497327510,"PSC 0117, Box 7347
APO AP 08038",3132454.39,27271881439,0
RC605487,Eze-Akinwale,2016-11-16,2025-11-04,3275,WPJJ74211667329518,"71299 Angela Expressway Apt. 298
Ruthview, GA 33095",2937395.22,66884110301,0
RC798477,Ibrahim-Okafor,2021-01-12,2023-08-21,951,GJSG00085282087656,"54970 Oshodi Causeway Suite 667
Adeyemiborough, VT 94115",2549793.55,15698489441,0
RC530991,Ogunleye Group,2020-06-05,2021-04-06,305,GWGP61333195580580,"8895 Balogun Rest Apt. 595
Jameshaven, OR 90982",579291.39,48911822345,0
RC421044,"Olawale, Balogun and Adetokunbo",2023-12-25,2025-03-24,455,LSXY76883354834608,"543 Charity Dam Apt. 091
Paulburgh, NE 02671",2712938.29,98549491040,0
RC524238,"Nnamani, Obasanjo and Olawale",2018-03-15,2024-10-14,2405,TVMD74072207845721,"48099 Ruth Centers
North Philip, SD 36826",979011.56,93442461875,0
RC344995,Eze LLC,2016-12-29,2017-01-04,6,DBPO56799234259756,"881 Charity Hills Suite 157
North Markmouth, MI 65453",3882864.88,14539411462,0
RC791890,Obi and Sons,2025-01-15,2025-05-28,133,NKIE46512659306933,"094 Mary Prairie Apt. 597
Okonkwoview, MO 13866",244650.87,66227435059,0
RC301656,Akinwale Ltd,2024-10-13,2026-04-30,564,JFCV95960887315000,"73937 Okonkwo Fall Apt. 508
East Gabriel, TX 45831",932005.4,17382429354,0
RC179209,Ojo-Okonkwo,2020-10-14,2021-07-08,267,TBKI22780902309674,"757 Blessing Ramp
East Andrewfurt, MD 25658",2647223.4,78798334448,0
RC687928,Oyekan-Oshodi,2020-06-20,2022-09-28,830,MWMQ29992325070450,"971 Adetokunbo Ridges Apt. 848
South Stephen, KY 37572",3466263.39,96273740714,0
RC457108,Oyekan and Sons,2018-07-24,2022-03-31,1346,FUWP43170852318357,"90576 Abiola Island Suite 884
Graceshire, GU 93994",709412.7,68156284943,0
RC918719,Ogunleye and Sons,2020-04-16,2023-05-30,1139,JTSC59264391400702,"391 Blessing Roads Suite 276
East Juliet, TN 37411",3332946.67,75654811808,0
RC917346,Abiola-Olawale,2024-02-25,2024-05-03,68,AFYS05268367806359,"04237 Nnamani Shores
Josephland, VA 21567",190295.7,25870325055,0
RC669395,Ogunleye-Akinwale,2019-05-01,2019-08-18,109,CRNO37359554698719,"74829 Eze Ranch Apt. 525
Oyekanberg, OH 55431",1845649.57,17386049749,0
RC417822,"Ogunleye, Olawale and Obasanjo",2017-01-09,2021-05-09,1581,LZRM39651517847422,"USS Obasanjo
FPO AE 22169",4476024.36,96967444133,0
RC388955,Uche and Sons,2020-11-10,2021-07-04,236,TZHN15806892573842,"625 Akinwale Grove
Agnesmouth, UT 56949",2814807.17,33409465260,0
RC411156,Akinwale Inc,2023-02-22,2025-09-16,937,QMXA82904476121435,"9484 Agnes Lights Suite 893
Obasanjofurt, AR 00708",3272012.66,02196282675,0
RC147296,Adeyemi-Olawale,2025-05-06,2025-11-24,202,FWRG53112477850386,"260 Chukwu Plains
Port Peaceburgh, VT 45799",2633631.36,71762459801,0
RC686960,Akinwale-Ojo,2020-02-12,2021-01-12,335,LOSW58839996726587,"PSC 4789, Box 6213
APO AA 87064",342708.82,69660410889,0
RC269088,Abiola-Okafor,2025-05-04,2025-08-29,117,YVTW70570479275830,"40809 Simon Port
Abiolamouth, MT 26235",349242.98,97528501583,0
RC566261,"Akinwale, Ibrahim and Eze",2018-07-26,2021-04-10,989,CRED65553228714770,"22406 Benjamin Underpass Apt. 561
South Philipmouth, VA 28010",2031139.8,52492736825,0
RC115998,Akinwale Group,2022-07-12,2025-11-15,1222,ZYJV36503637525070,"5840 Abiola Trail
Olawalehaven, NC 01173",1372777.94,12217501694,0
RC248339,Obi-Ojo,2017-06-16,2025-02-15,2801,JGUT63286195595141,"7682 Simon Wall Apt. 023
East Sarahberg, IA 15607",1689882.58,46198867203,0
RC429419,"Balogun, Ojo and Ibrahim",2021-10-26,2026-02-27,1585,YBYM78892582573797,"324 Gabriel Park
Obasanjofort, NJ 20915",1406046.9,82432328313,0
RC366152,Akinwale-Ojo,2022-08-07,2025-03-28,964,KKBS99898348719257,"2975 Nnamani Row
Blessingmouth, NM 96564",2471386.87,79219913002,0
RC540903,"Obi, Okafor and Okafor",2025-03-10,2026-01-06,302,KNJU56239294732104,"5524 Ojo Canyon Apt. 327
New Sarah, ME 53412",4999276.34,65500717259,0
RC808714,Ekwueme Inc,2018-08-08,2024-11-25,2301,DCTU77558554141460,"200 Oshodi Springs
South Samuel, UT 58196",3553997.28,23783994056,0
RC657762,Adeyemi Ltd,2022-08-31,2024-07-23,692,SWXS36294122237335,"577 Joy Loop Apt. 339
Michaelton, NM 91047",2505486.18,15948251736,0
RC507636,"Okafor, Adetokunbo and Nnamani",2021-06-20,2024-10-19,1217,UCQW41248079371328,"5703 Victoria Vista
Oyekanhaven, WY 73656",4177379.91,93682944504,0
RC208173,Chukwu-Balogun,2019-10-04,2023-05-13,1317,FJCP44354273179575,"033 Ruth Way Apt. 208
Port Comfortmouth, RI 66962",2925621.18,58589323863,0
RC678129,Oshodi Group,2018-08-15,2020-12-07,845,EWJO74844708293486,"31654 Ekwueme Radial Apt. 009
Ekwuemeside, OH 56815",1072768.8,96320592678,0
RC766569,Obi Ltd,2022-09-10,2023-01-30,142,LTRA34035419856208,"22951 Ibrahim Pine Apt. 074
West Michael, WI 34240",4561711.09,27862035147,0
RC569093,"Obi, Akinwale and Obasanjo",2021-11-10,2023-02-18,465,HWYL94811009457560,"25738 Samuel Unions
Adeyemiland, MI 07395",4673871.64,62339662510,0
RC143022,Adeyemi-Oshodi,2025-05-30,2025-08-13,75,YHAY80753344187563,"3021 Hope Ridges Apt. 083
Akinwalefort, AZ 62351",2464356.21,80824692823,0
RC541680,Okonkwo Inc,2018-04-14,2024-04-05,2183,ZDRF72907768263112,"702 Faith Views
Joshuatown, DC 26355",4873991.1,76411348886,0
RC973955,Chukwu-Ogunleye,2021-03-16,2021-09-24,192,HKIS29258882306158,"20352 Ekwueme Valleys Suite 891
West Corneliusburgh, NE 48605",4909660.09,89873881817,0
RC135525,"Ogunleye, Akinwale and Chukwu",2024-07-13,2024-08-10,28,IOYQ62951319099334,"566 Daniel Club Apt. 003
Abiolashire, LA 10041",3124582.2,55884164373,0
RC326555,"Adetokunbo, Nnamani and Nnamani",2020-01-02,2021-05-03,487,DPZP08713435883458,"593 Angela Station
Okaformouth, NV 28389",514268.61,50658655346,0
RC252642,Ogunleye-Adetokunbo,2024-03-01,2024-04-27,57,BTAZ60854951347953,"357 Chukwu Shores
South Joshua, OK 10582",4135842.9,64834420567,0
RC623953,Nnamani-Okafor,2024-09-07,2025-02-26,172,MQZZ07685222764251,"754 Joseph Ridge Suite 005
Sarahhaven, MI 15064",3877645.69,82365813819,0
RC210722,"Adetokunbo, Oshodi and Adeyemi",2021-11-27,2022-06-27,212,LGGX95260774803252,"6286 Cornelius Tunnel
Agnesborough, PR 18976",2105808.21,71351723639,0
RC438956,Abiola-Chukwu,2018-04-19,2022-06-17,1520,BCPW59302361347968,"925 Balogun Radial Suite 329
Gloriaburgh, ID 23135",4323424.46,60001911473,0
RC936163,Adeyemi-Akinwale,2021-02-28,2021-10-05,219,LGBT37615505917382,"4986 Adetokunbo Land
Angelaborough, IN 31132",1972367.45,64802647212,0
RC708324,Ogunleye-Obasanjo,2025-07-18,2026-04-17,273,EUHS97099529501796,"USCGC Oyekan
FPO AA 18896",318425.56,72817168655,0
RC804410,Olawale-Balogun,2024-01-25,2024-05-05,101,UABW34415169943438,"USNV Obi
FPO AA 43490",511027.19,12039213680,0
RC610136,Eze Inc,2019-02-07,2022-12-10,1402,ELSV62510477350035,"1356 Paul Place
Deborahville, MA 72741",4322313.81,35019225879,0
RC670618,Ibrahim Group,2022-08-03,2024-04-29,635,GPCU17438810830250,"35644 Sarah Mews
North Mark, AL 61113",1897057.2,66527030909,0
RC691421,Eze-Balogun,2017-08-11,2018-06-25,318,SPLL18365031475913,"2559 Andrew Mission Suite 593
Okonkwofort, NY 22439",3673967.89,54938909082,0
RC433967,Balogun and Sons,2019-08-07,2020-06-26,324,CKLK26310129619640,"6957 Sarah Run Suite 261
North Cornelius, VA 15343",878779.58,85891029659,0
RC913046,Nnamani-Obi,2023-12-22,2025-07-04,560,RROB43264241983617,"456 Esther Wells Suite 492
South David, TX 72641",2570214.37,32361466951,0
RC785239,"Obasanjo, Oshodi and Ibrahim",2018-09-08,2022-10-27,1510,CYJB16175696796921,"105 Deborah Isle
East Angelaland, NV 36673",4390007.92,09048769841,0
RC982827,Ojo-Adeyemi,2018-02-12,2022-04-27,1535,HAFC10608575393701,"23480 Obi Highway Apt. 014
Abiolaland, RI 22797",2485400.22,86631151433,0
RC529290,Adeyemi-Adetokunbo,2025-08-27,2026-03-10,195,HUKW74560422277065,"83786 Joseph Course
North Corneliusbury, WY 34728",2919033.54,49481311249,0
RC675519,Uche Ltd,2020-08-14,2023-07-15,1065,VMAJ51975457531752,"8883 Adeyemi Flats Apt. 890
South Mark, MD 41274",3366257.6,18914632279,0
RC858176,"Adeyemi, Nnamani and Ibrahim",2025-05-12,2025-11-25,197,TSZD73463941826970,"75853 Joy Rest
Akinwalemouth, MP 10804",1714306.44,08619043545,0
RC599359,Uche LLC,2024-08-02,2025-08-15,378,QGSI37748959612350,"0176 Obi Drive
East Joshuaton, AL 37401",2035609.75,49592860427,0
RC472085,"Uche, Ogunleye and Abiola",2022-01-07,2026-01-13,1467,XXKE67293474496451,"USCGC Ogunleye
FPO AE 46772",2505268.88,67466671055,0
RC553733,Oyekan LLC,2020-12-06,2022-12-01,725,QLHH64461243641954,"401 Balogun Ramp
Sarahland, GA 71518",2704943.86,37852403174,0
RC482869,Oshodi-Abiola,2021-06-16,2021-10-12,118,KCUD43780011447392,"194 Oshodi Shoals
East Philip, VI 52506",4176774.95,58621800898,0
RC584973,"Uche, Okonkwo and Chukwu",2016-10-12,2017-08-25,317,LIOQ05328470556104,"95066 Gabriel Track
East Michael, MI 67935",1250098.47,01803248101,0
RC325003,Ojo LLC,2018-08-17,2024-10-08,2244,OOTU73052141825464,"6330 Akinwale Point Apt. 209
Charitybury, AS 62935",568021.51,97807664714,0
RC998400,Okafor LLC,2021-10-08,2023-05-22,591,LZBH84623473420853,"42089 Akinwale Port Suite 146
Danielborough, NY 38885",3390098.72,85324957331,0
RC945389,Oyekan-Ibrahim,2019-09-18,2021-10-05,748,ZFXP85406829058594,"28513 Balogun Harbor Apt. 958
Oyekanmouth, WA 30298",1451469.86,21872161502,0
RC438150,Okonkwo PLC,2020-11-19,2022-09-19,669,PJWB94934605758419,"USCGC Ojo
FPO AP 66925",760626.22,67352863720,0
RC886677,"Abiola, Oshodi and Adeyemi",2019-11-12,2020-01-17,66,VLCK02763284814016,"8927 Obasanjo Court Apt. 077
Benjaminborough, AR 25619",2373586.16,28659262061,0
